,Company,Departments,Description,Experience,Industry,Location,Portal,Portal_Id,Posted_On,Scraped_Datetime,Skills,Title,Type,URL,_id
10,Tetrahedron Manufacturing Service Private Limited,['NA'],"We are Tetrahedron Manufacturing Services Private Limited technology and consulting startup founded by Mr. Nitin Kumar, alumni of IIT Roorkee and IIM Calcutta, ex-Indian engineering services statesman (IES) (batch -2003) and Mr. Alok Kumar Sahu, alumni of IIM Calcutta and NIT Rourkela. We have been working on providing manufacturing excellence, high-tech consulting solutions & low-cost automation (LCA) solutions to the Indian industries from the past five years. We are a team of highly motivated people from various reputed colleges of the country and are looking to expand our team for rising future demands. We are looking for students who have solid technical knowledge related to the future technologies of Industry 4.0.Selected candidate day-to-day responsibilities include: 1. Perform recruitment for Tetrahedron2. Work on employee engagement at Tetrahedron3. Plan, direct, and coordinate the administrative functions of an organization4. Manage attendance, inventory stock, stationery, HR policy, ticket booking, training & training material, etc.5. Perform day-to-day responsibilities of HR & administrationsJob Types: Full-time, FresherPay: ₹120,000.00 - ₹200,000.00 per monthEducation:Bachelor's (Preferred)Location:Kundi, Haryana (Preferred)",NA,NA,"Kundi, Haryana",Indeed,5940425416855310357,2020-08-10 11:09:17.185,2020-08-10 11:09:17.185,['NA'],Human Resource Executive,Full Time,https://www.indeed.co.in/company/Tetrahedron-Manufacturing-Services-Pvt.-Ltd./jobs/Human-Resource-Executive-e9a5d83bb28c6437?fccid=5a58c899d0b24cf3&vjs=3,5f312b953fca4a5498b8c003
11,Hannu Knitters Private Limited,['NA'],"Salary: ₹8,500.00 to ₹10000.00 /monthJob Type: Full-timeResponsibilities and DutiesCandidate should complete any degree or diploma and textile related courses preferable.We are Looking for a fresher female candidate with good communication skills and also well know about ms office Excel or word.Experience:excel: 1 year (Preferred)total work: 1 year (Preferred)MS Office: 1 year (Preferred)Education:Secondary(12th Pass) (Preferred)Job Types: Full-time, Walk-InSalary: ₹10,000.00 - ₹12,000.00 per monthExperience:total work: 1 year (Required)",NA,NA,"Tiruppur, Tamil Nadu",Indeed,-6017987960135710234,2020-08-10 11:09:22.029,2020-08-10 11:09:22.029,['NA'],Data Entry Operator,Full Time,https://www.indeed.co.in/company/Hannu-Knitters-Private-Limited/jobs/Data-Entry-Operator-a0795a4da081dd24?fccid=ede84d757ee4a983&vjs=3,5f312b953fca4a5498b8c004
12,SSB,['NA'],"SSB Recruitment 2020 - 1,522 Constable Vacancies - Apply NowSSB Recruitment 2020-21: Employees State Insurance Corporation (SSB) announced Job notification to hire candidates who completed Diploma,10TH for the position of Constable. To Apply for the job posting from SSB, please click on the Apply Now button below.Company Name: SSB
Post Name: Constable
No of Posts: 1522
Salary: Not Disclosed
Experience: fresher - 2 years
Education: Diploma,10TH
Location: Across India
Last Date: 10-09-2020
Selection Procedure: Selection Will be Based either Written Exam/Interview

How To Apply:
1. Last date of receipt application: The closing-date for receipt of applications will be 30 days from the date of publication of advertisement in Employment News except for the Remote Areas. The last date for receipt of applications from Remote Areas (i.e. Assam, Meghalaya, Arunachal Pradesh, Mizoram, Manipur, Nagaland, Tripura, Sikkim, Union Territories of Jammu & Kashmir and Ladakh, Lahaul Spiti District and Pangi Sub- Division of Chamba District of Himachal Pradesh, Union Territory of Andaman & Nicobar Islands and Union territory of Lakshadweep) will be 37 days from the date of publication of advertisement in Employment News, but it will not affect the crucial date for determining the eligibility criteria.

2. OnIy online applications will be entertained for the above said posts. Applications received through any other mode shall not be accepted and rejected straightway. Interested/ eligible candidates may download the detailed advertisement for above said posts from SSB recruitment website yrww.ssbrectt.gov.in. and may apply online through yyw-w.ssbrectvgoy,in after going through all provisions contained in the detailed advertisement to ensure that he/she is eligible for the post Or which he/she is applying for.",NA,NA,India,Indeed,-9039683723382084639,2020-08-10 11:09:27.933,2020-08-10 11:09:27.933,['NA'],Constable,Full Time,https://www.indeed.co.in/rc/clk?jk=036fcb5ae876468f&fccid=ec105bed4b735339&vjs=3,5f312b953fca4a5498b8c005
13,Annova Solutions Pvt Ltd,['NA'],"We are looking for Freshers and Experienced candidates for the role of SME (Subject Matter Expert)

Job Role:

Make data entry of the information collated in a software
Analyze the given image and marking/highlighting the required objects e.g. Football team playing Football game.
Should have strong knowledge of Football
National/State level Football players will be highly preferred.

Qualification:
Any stream can apply.
Must have understanding of Computer work.
Website : www.annovasolutions.com
Job Location : Indore
Years of Experience : 0 Yrs - 5 Yrs
Venue : 2 nd Floor, K.Sewani Corporate House, 16/1/1 Race Course Road, Indore 452001, Landmark - Opposite Basket ball complex, 452001",NA,NA,"Indore, Madhya Pradesh",Indeed,-7952371282380415099,2020-08-10 11:09:32.498,2020-08-10 11:09:32.498,['NA'],Subject Matter Expert (Image Labelling) (Football Knowledge Mandatory) - Fresher's & Experienced,Full Time,https://www.indeed.co.in/rc/clk?jk=669f3ab7a0fc52d2&fccid=7d6eb3a341021bf6&vjs=3,5f312b953fca4a5498b8c006
14,S.R.HEAVY EQUIPMENT,['NA'],"Office work computer Oprator female candidates urgent basis requirements near nangloiJob Types: Full-time, FresherSalary: From ₹10,000.00 per monthExperience:Data Entry: 1 year (Preferred)0-6 month: 1 year (Preferred)total work: 1 year (Preferred)Education:Diploma (Preferred)Language:English (Preferred)Selection rounds:HR InterviewWork Remotely:Yes",NA,NA,"Nangloi Jat, Delhi",Indeed,1892950683442245987,2020-08-10 11:09:38.697,2020-08-10 11:09:38.697,['NA'],Computer Operator,Full Time,https://www.indeed.co.in/company/S.R.HEAVY-EQUIPMENT/jobs/Computer-Operator-a9db2674758c6002?fccid=1b50e88a1219d6f8&vjs=3,5f312b953fca4a5498b8c007
15,SSB,['NA'],"SSB Recruitment 2020 - 1,522 Constable Vacancies - Apply NowSSB Recruitment 2020-21: Employees State Insurance Corporation (SSB) announced Job notification to hire candidates who completed Diploma,10TH for the position of Constable. To Apply for the job posting from SSB, please click on the Apply Now button below.Company Name: SSB
Post Name: Constable
No of Posts: 1522
Salary: Not Disclosed
Experience: fresher - 2 years
Education: Diploma,10TH
Location: Across India
Last Date: 10-09-2020
Selection Procedure: Selection Will be Based either Written Exam/Interview

How To Apply:
1. Last date of receipt application: The closing-date for receipt of applications will be 30 days from the date of publication of advertisement in Employment News except for the Remote Areas. The last date for receipt of applications from Remote Areas (i.e. Assam, Meghalaya, Arunachal Pradesh, Mizoram, Manipur, Nagaland, Tripura, Sikkim, Union Territories of Jammu & Kashmir and Ladakh, Lahaul Spiti District and Pangi Sub- Division of Chamba District of Himachal Pradesh, Union Territory of Andaman & Nicobar Islands and Union territory of Lakshadweep) will be 37 days from the date of publication of advertisement in Employment News, but it will not affect the crucial date for determining the eligibility criteria.

2. OnIy online applications will be entertained for the above said posts. Applications received through any other mode shall not be accepted and rejected straightway. Interested/ eligible candidates may download the detailed advertisement for above said posts from SSB recruitment website yrww.ssbrectt.gov.in. and may apply online through yyw-w.ssbrectvgoy,in after going through all provisions contained in the detailed advertisement to ensure that he/she is eligible for the post Or which he/she is applying for.",NA,NA,India,Indeed,-9039683723382084639,2020-08-10 11:09:46.515,2020-08-10 11:09:46.515,['NA'],Constable,Full Time,https://www.indeed.co.in/rc/clk?jk=036fcb5ae876468f&fccid=ec105bed4b735339&vjs=3,5f312b953fca4a5498b8c008
16,Annova Solutions Pvt Ltd,['NA'],"We are looking for Freshers and Experienced candidates for the role of SME (Subject Matter Expert)

Job Role:

Make data entry of the information collated in a software
Analyze the given image and marking/highlighting the required objects e.g. Football team playing Football game.
Should have strong knowledge of Football
National/State level Football players will be highly preferred.

Qualification:
Any stream can apply.
Must have understanding of Computer work.
Website : www.annovasolutions.com
Job Location : Indore
Years of Experience : 0 Yrs - 5 Yrs
Venue : 2 nd Floor, K.Sewani Corporate House, 16/1/1 Race Course Road, Indore 452001, Landmark - Opposite Basket ball complex, 452001",NA,NA,"Indore, Madhya Pradesh",Indeed,-7952371282380415099,2020-08-10 11:09:52.180,2020-08-10 11:09:52.180,['NA'],Subject Matter Expert (Image Labelling) (Football Knowledge Mandatory) - Fresher's & Experienced,Full Time,https://www.indeed.co.in/rc/clk?jk=669f3ab7a0fc52d2&fccid=7d6eb3a341021bf6&vjs=3,5f312b953fca4a5498b8c009
17,S.R.HEAVY EQUIPMENT,['NA'],"Office work computer Oprator female candidates urgent basis requirements near nangloiJob Types: Full-time, FresherSalary: From ₹10,000.00 per monthExperience:Data Entry: 1 year (Preferred)0-6 month: 1 year (Preferred)total work: 1 year (Preferred)Education:Diploma (Preferred)Language:English (Preferred)Selection rounds:HR InterviewWork Remotely:Yes",NA,NA,"Nangloi Jat, Delhi",Indeed,1892950683442245987,2020-08-10 11:09:57.710,2020-08-10 11:09:57.710,['NA'],Computer Operator,Full Time,https://www.indeed.co.in/company/S.R.HEAVY-EQUIPMENT/jobs/Computer-Operator-a9db2674758c6002?fccid=1b50e88a1219d6f8&vjs=3,5f312b953fca4a5498b8c00a
18,Mcross Services,['NA'],"We are hiring Data Entry Operators in Mumbai. Data Entry Operator responsibilities include collecting and entering data in databases and maintaining accurate records of valuable company information.It is a full-time jobResponsibilities: Preparing and sorting documents for data entryEntering data into database softwareEnsure the accuracy of the data that has been inputtedResolving discrepancies in informationobtain further information for incomplete documentsCreating data backupsResponding to information requests from authorized membersRequirements: Fresher and Graduate can applyHigh school diploma or equivalent10th and 12th pass can also applySolid knowledge of Microsoft OfficeBenefitsFixed Time of workPFRapid Growth opportunityMedical InsuranceWork-life flexibilityPerformance BonusReimbursementJob Types: Full-time, Fresher, Walk-InSalary: ₹14,000.00 - ₹18,000.00 per month",NA,NA,"Mumbai, Maharashtra",Indeed,-745990651967091165,2020-08-10 11:10:03.676,2020-08-10 11:10:03.676,['NA'],Data Entry Operator,Full Time,https://www.indeed.co.in/company/Mcross-Services/jobs/Data-Entry-Operator-5db5c8ae054072c6?fccid=205296224ff63289&vjs=3,5f312b953fca4a5498b8c00b
19,Kalco Alu-Systems Pvt. Ltd.,['NA'],"In process & final quality check of productTo analyse production.To make best use of resources.Reports submission to seniors.Job Types: Full-time, Internship, FresherSalary: From ₹10,000.00 per monthEducation:Bachelor's (Required)",NA,NA,"Hapur, Uttar Pradesh",Indeed,-2001289835228346678,2020-08-10 11:10:07.774,2020-08-10 11:10:07.774,['NA'],Production Executive/Intern,Full Time,https://www.indeed.co.in/company/Kalco-Alu--Systems-Pvt.-Ltd./jobs/Production-Executive-Intern-46b052902543fae0?fccid=41df2e8f6d18ba88&vjs=3,5f312b953fca4a5498b8c00c
20,Network private limited,['NA'],"Contact chaya 925-O6O6-6O8Managing Day to Day operations of the office.Organizing and maintaining files and records.Well versed with MS Office (Word, Excel, Power Point).Capable of doing independent correspondence and e-mails.Pls carry 3 Hard copies of your Updated Resume and 3 Passport Size PhotographsJob Types: Full-time, Fresher, Walk-InSalary: ₹12,000.00 - ₹16,000.00 per monthEducation:Higher Secondary(12th Pass) (Preferred)Language:English (Preferred)",NA,NA,"Jaipur, Rajasthan",Indeed,-538823488037057553,2020-08-10 11:10:14.453,2020-08-10 11:10:14.453,['NA'],Computer Operator cum Office Assistant,Full Time,https://www.indeed.co.in/company/Network-deft-private-limited/jobs/Computer-Operator-Cum-Office-Assistant-dffdb1a723c7d88e?fccid=e08cd59d851c7fab&vjs=3,5f312b953fca4a5498b8c00d
21,Two Sisters Enterprises,['NA'],"1. SprintProcess : Sprint Telecom - voiceQuality : b2 select 8Qualification* UG with minimum 6 months exp*Grad fresher/experiencedRounds of interview- HR, VnA and OpsSalary : upto 24k in hand5 days/ rotational shiftsBoth side cabsLocation : Gurgaon2. Caption CallProcess : Caption Call - voiceQualification* UG fresher can also applyRounds of interview- HR, DragonSalary : 26 CTC 22 in-hand5 days/ rotational shiftsBoth side cabsLocation : GurgaonExpected Start Date: 10/8/2020Job Types: Full-time, FresherSalary: ₹24,000.00 - ₹26,000.00 per monthExperience:work: 1 year (Preferred)Education:Secondary(10th Pass) (Preferred)Work Remotely:No",NA,NA,"Delhi, Delhi",Indeed,5006777026092038173,2020-08-10 11:10:18.295,2020-08-10 11:10:18.295,['NA'],International Voice Process,Full Time,https://www.indeed.co.in/company/Two-Sisters-Enterprises/jobs/International-Voice-Process-b5b60d96a0f707ba?fccid=97762eb56d2516a1&vjs=3,5f312b953fca4a5498b8c00e
22,Nature’s Gudthing Pvt. Ltd.,['NA'],"Plant HR, admin and accounts management responsibilities. Willing to stay inside plant premises mandatoryJob Types: Full-time, FresherSalary: From ₹15,000.00 per monthExperience:work: 1 year (Preferred)Education:Higher Secondary(12th Pass) (Preferred)Location:Yavat, Maharashtra (Required)Required travel:25% (Preferred)Benefits:Health insuranceMeal card / Food couponsPhone / Internet reimbursementSelection rounds:HR InterviewIndustry:Production & ManufacturingWork Remotely:No",NA,NA,"Yavat, Maharashtra",Indeed,7263713486350053377,2020-08-10 11:10:24.871,2020-08-10 11:10:24.871,['NA'],Plant Administrator,Full Time,https://www.indeed.co.in/rc/clk?cmp=Nature%E2%80%99s-Gudthing-Pvt.-Ltd.&ti=Plant+Administrator&jk=3794bc0619e99b36&fccid=1a61be77c9915154&vjs=3,5f312b953fca4a5498b8c00f
23,SamTek Systems,['NA'],"HR Department * 85958-99823*Datadex is looking for candidates who are proficient in English, Excel, have a stable internet connection with a laptop, and are jam-packed with a lot of commonsense. Candidates who have,Excellent Communication SkillTechnical CompetencyDetermination and PersistenceProblem-Solving SkillsJob Type: Full-timeSalary: ₹10,000.00 - ₹18,000.00 per monthExperience:data entry: 1 year (Preferred)total work: 1 year (Preferred)MS Office: 1 year (Preferred)Education:Bachelor's (Preferred)Typing Speed:Less than 25 words per minute (Preferred)Benefits:Health insurance",NA,NA,"Delhi, Delhi",Indeed,3980855645871425566,2020-08-10 11:10:30.415,2020-08-10 11:10:30.415,['NA'],Data Entry Operator Only Fresher,Full Time,https://www.indeed.co.in/company/SamTek-Systems/jobs/Data-Entry-Operator-Only-Fresher-8df4aa1cbc3f85ac?fccid=f8f934b8a0495a47&vjs=3,5f312b953fca4a5498b8c010
